alt;6/4
Pflegetochter Lene;6/4
zur Miete wohnend;6/5
träumerisch;6/13
ungern von Lene getrennt;7/2
Freundin von Fr. Dörr;6/17
Nachbarin von Fr. Dörr;6/17
äußert sich kaum zu Lenes Beziehung;17/13
gewöhnlich am Herd sitzend;6/6
fühlt sich zu alt zum Tanzen;28/11
findet Kirschwasser fein;30/1
ungern alt;62/40
spricht gerne von Begräbnissen;64/34
mag kein Efeu und Azalie auf dem Grab;65/3
mag Immortellen;65/19
behauptet gern allein zu sein;112/20
hat chronisches Kratzen im Hals;112/24
sorgt sich sehr um Lene;115/8
humpelt;115/13
zieht wegen Lene um;120/8
sitzt nun gern am Fenster und genießt Aussicht;121/20
Gesundheit nach Umzug besser;121/23
hat Wasser in Brust;131/33
hat asthmatische Beschwerden;131/33
Herdfeuer bedeutet für sie Leben;132/14
hat keine Angst vorm Tod;134/9
hat Angst vorm Sterben;134/10
will auf Jakobikirchhof beerdigt werden;135/32
tot;136/25
weiblich;6/4
